"Review priority","Name","New-site slug","Department","Proposed category","Price (NGN)","Photo count","Sizes","Colour","Fabric","Fit","Marked new","Category review needed","Colour review needed","Fabric review needed","Fit review needed","Checkout enabled","Managed preview path","Legacy source image"
"1","The Alabaster","the-alabaster","men","Kaftans","265000","4","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","Yes","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/4278/1-74d358fd31a5.jpg","https://shopsoso.co/wp-content/uploads/2026/08/IMG_98041.jpg"
"2","The Mahogany","the-mahogany","men","Kaftans","265000","6","S | M | L | XL | XXL","Brown","To be confirmed","To be confirmed","Yes","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/4265/1-f92b0f7da0fc.jpg","https://shopsoso.co/wp-content/uploads/2026/08/IMG_97681-scaled.jpg"
"3","Cobalt","cobalt","men","Men's Ready-to-Wear","200000","5","S | M | L | XL | XXL","Blue","Linen","To be confirmed","Yes","Yes","No","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/4247/1-7c43186afef6.jpg","https://shopsoso.co/wp-content/uploads/2026/08/IMG_98071.jpg"
"4","Vayor","vayor","men","Shirts","130000","2","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1873/1-c74f274a714f.jpg","https://shopsoso.co/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-27-at-1.23.31-PM-2.jpeg"
"5","The Halo","soso-113-2","men","Kaftans","265000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","Yes","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3448/1-5ffea8f1661a.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-9.09.04-PM8.jpeg"
"6","The Vanta","soso-114-2","men","Kaftans","265000","4","S | M | L | XL | XXL","As photographed","Wool","To be confirmed","Yes","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3431/1-bad9b7cc6174.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-10.15.08-PM1-1.jpeg"
"7","Voyage","two-piece-3","men","Two-Piece","200000","2","S | M | L | XL | XXL","As photographed","Linen","To be confirmed","Yes","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3340/1-52729881c23e.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-8.48.29-PM7.jpeg"
"8","Eminence","soso-120","men","Agbadas","500000","2","S | M | L | XL | XXL","As photographed","Wool","To be confirmed","Yes","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3330/1-5b8a489cc5ec.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-9.09.04-PM6.jpeg"
"9","Azure","two-piece-2","men","Two-Piece","265000","10","S | M | L | XL | XXL","Blue","Wool","To be confirmed","Yes","No","No","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3305/1-761a0b192687.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-10.15.08-PM3.jpeg"
"10","Azura","two-piece-1","men","Two-Piece","265000","11","S | M | L | XL | XXL","As photographed","Wool","To be confirmed","Yes","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3290/1-5ac6f030bb8e.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-8.47.14-PM3.jpeg"
"11","Sogram","linen-two-piece-white","men","Two-Piece","220000","4","S | M | L | XL | XXL","As photographed","Linen","To be confirmed","Yes","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3282/1-3a0e5332eb2d.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-10.15.08-PM5.jpeg"
"12","The Melot","soso-118","men","Kaftans","256000","3","S | M | L | XL | XXL","As photographed","Silk","To be confirmed","Yes","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3264/1-adc0d58b3ab9.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-8.48.29-PM9.jpeg"
"13","The Noire","soso-112-2","men","Kaftans","265000","3","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","Yes","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3255/1-401a74ef07e4.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-10.15.08-PM15.jpeg"
